,Household Size,,,,,,,,,,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Phillips,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Pitkin,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $144,200","$83,400 - $164,800","$93,800 - $185,400","$104,200 - $205,950","$112,550 - $222,450","$120,900 - $238,950","$129,250 - $255,400","$137,550 - $271,900",,,,,,,
Prowers,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Pueblo,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Rio Blanco,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Rio Grande,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Routt,Low Income,"$72,800","$83,200","$93,600","$104,000","$112,350","$120,650","$129,000","$137,300",,,,,,,
,Moderate Income,"$72,800 - $136,500","$83,200 - $156,000","$93,600 - $175,500","$104,000 - $195,000","$112,350 - $210,600","$120,650 - $226,200","$129,000 - $241,800","$137,300 - $257,400",,,,,,,
Saguache,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
San Juan,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
San Miguel,Low Income,"$66,950","$76,500","$86,050","$95,600","$103,250","$110,900","$118,550","$126,200",,,,,,,
,Moderate Income,"$66,950 - $125,500","$76,500 - $143,400","$86,050 - $161,350","$95,600 - $179,250","$103,250 - $193,600","$110,900 - $207,950","$118,550 - $222,300","$126,200 - $236,650",,,,,,,
Sedgwick,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Summit,Low Income,"$74,500","$85,150","$95,800","$106,400","$114,950","$123,450","$131,950","$140,450",,,,,,,
,Moderate Income,"$74,500 - $139,650","$85,150 - $159,600","$95,800 - $179,550","$106,400 - $199,500","$114,950 - $215,500","$123,450 - $231,450","$131,950 - $247,400","$140,450 - $263,350",,,,,,,
Teller,Low Income,"$57,700","$65,950","$74,200","$82,400","$89,000","$95,600","$102,200","$108,800",,,,,,,
,Moderate Income,"$57,700 - $108,150","$65,950 - $123,600","$74,200 - $139,050","$82,400 - $154,500","$89,000 - $166,900","$95,600 - $179,250","$102,200 - $191,600","$108,800 - $203,950",,,,,,,
Washington,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Weld,Low Income,"$63,650","$72,750","$81,850","$90,900","$98,200","$105,450","$112,750","$120,000",,,,,,,
,Moderate Income,"$63,650 - $119,300","$72,750 - $136,350","$81,850 - $153,400","$90,900 - $170,400","$98,200 - $184,050","$105,450 - $197,700","$112,750 - $211,300","$120,000 - $224,950",,,,,,,
Yuma,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
